City,Country,Date,Latitude,Longitude,Max Temp,Humidity,Wind Speed,Cloudiness
Lucapa,AO,1579928642,-8.42,20.74,70.11,92,3.56,96
Frei Paulo,BR,1579928906,-10.55,-37.53,82.4,78,6.93,20
Cobija,BO,1579928906,-11.03,-68.77,72.19,96,2.04,100
Norman Wells,CA,1579928906,65.28,-126.83,-7.6,83,3.36,90
Huarmey,PE,1579928907,-10.07,-78.15,73.51,67,3.4,98
Morgan City,US,1579928907,29.7,-91.21,53.01,100,5.14,90
Takoradze,GH,1579928907,4.88,-1.76,75.45,93,1.79,31
Crotone,IT,1579928907,39.09,17.12,51.13,80,11.77,12
Dawei,MM,1579928907,14.08,98.2,78.85,64,8.08,100
Nuevo Casas Grandes,MX,1579928907,30.42,-107.92,51.73,47,4.92,100
Halifax,CA,1579928886,44.65,-63.57,26.01,92,6.93,75
Faanui,PF,1579928907,-16.48,-151.75,82.33,77,13.4,4
Ugoofaaru,MV,1579928669,5.67,73.0,82.27,79,15.77,87
Chengde,CN,1579928908,40.97,117.94,30.11,53,3.09,0
Nanhyanga,TZ,1579928911,-10.8,39.55,79.18,90,1.54,85
La Ligua,CL,1579928911,-32.45,-71.23,60.8,93,3.36,90
Magistralnyy,RU,1579928911,56.17,107.45,19.0,84,9.01,100
Les Cayes,HT,1579928911,18.2,-73.75,76.55,74,6.46,0
Killybegs,IE,1579928911,54.63,-8.45,44.01,91,8.99,100
Henties Bay,NA,1579928911,-22.12,14.28,63.0,96,1.01,0
Bardiyah,LY,1579928912,31.76,25.09,53.67,66,9.04,0
Mount Isa,AU,1579928912,-20.73,139.5,87.8,62,12.75,40
Caravelas,BR,1579928912,-17.71,-39.25,79.47,80,29.64,100
Kalachinsk,RU,1579928912,55.05,74.58,8.01,92,12.39,80
Santa Lucia,ES,1579928912,27.91,-15.54,57.99,58,3.36,20
Grand Gaube,MU,1579928912,-20.01,57.66,82.0,94,17.22,75
Ibicui,BR,1579928912,-14.84,-39.99,68.83,97,2.21,100
Rome,US,1579928912,34.26,-85.16,46.4,70,3.36,90
Upernavik,GL,1579928868,72.79,-56.15,-10.61,93,6.73,100
Muros,ES,1579928913,42.78,-9.06,48.0,93,2.24,20
Cabo Rojo,PR,1579928913,18.09,-67.15,75.0,83,4.7,1
Khovd,MN,1579928913,48.01,91.64,10.13,56,2.75,59
Ambon,ID,1579928913,-3.7,128.18,91.4,52,9.17,40
Walvis Bay,NA,1579928913,-22.96,14.51,63.0,93,3.36,90
Tautira,PF,1579928913,-17.73,-149.15,84.2,74,10.29,20
Conde,BR,1579928914,-7.26,-34.91,78.8,88,5.82,75
Bonavista,CA,1579928882,48.65,-53.11,15.01,76,8.01,2
Sinnamary,GF,1579928914,5.38,-52.95,78.82,84,14.92,39
Helong,CN,1579928917,42.54,129.0,22.93,62,3.67,3
New Ipswich,US,1579928917,42.75,-71.85,37.0,80,9.8,90
Amberley,US,1579928917,39.2,-84.43,39.99,86,3.36,90
Leningradskiy,RU,1579928917,69.38,178.42,-21.35,82,1.21,42
Souillac,MU,1579928824,-20.52,57.52,82.0,94,17.22,75
Bubaque,GW,1579928918,11.28,-15.83,77.07,75,10.6,99
Abha,SA,1579928902,18.22,42.51,50.0,93,5.82,40
Pimentel,PE,1579928918,-6.84,-79.93,66.2,29,10.29,20
Vila,PT,1579928918,42.03,-8.16,48.0,93,4.7,93
Skibbereen,IE,1579928918,51.55,-9.27,41.0,93,4.7,40
Kumul,CN,1579928918,42.8,93.45,19.89,59,3.56,0
Chermoz,RU,1579928919,58.79,56.15,7.43,94,8.63,90
Yar-Sale,RU,1579928919,66.83,70.83,1.96,96,4.47,88
Kapit,MY,1579928919,2.02,112.93,82.56,71,2.53,98
Mehamn,NO,1579928874,71.04,27.85,23.65,75,19.48,100
Sambava,MG,1579928919,-14.27,50.17,87.01,61,1.88,65
Tripoli,LY,1579928724,32.88,13.19,63.75,55,11.36,86
Shimoda,JP,1579928623,34.67,138.95,55.4,61,14.99,75
Cabra,ES,1579928919,37.47,-4.44,53.01,100,3.36,20
Hasaki,JP,1579928920,35.73,140.83,52.0,46,8.05,75
Kyren,RU,1579928920,51.68,102.14,18.72,65,7.58,35
Matara,LK,1579928923,5.95,80.54,86.4,56,4.32,100
Troitskoye,RU,1579928923,52.98,84.68,32.63,81,19.42,100
Zhanaozen,KZ,1579928923,43.3,52.8,26.15,54,12.35,21
Rawson,AR,1579928638,-43.3,-65.1,66.06,55,29.68,54
Andenes,NO,1579928631,69.31,16.12,33.8,86,11.41,100
Urumqi,CN,1579928923,43.8,87.6,28.4,58,2.24,96
Fort Frances,CA,1579928699,48.6,-93.4,24.8,79,3.18,90
Villazon,BO,1579928924,-22.09,-65.59,50.45,68,4.83,20
Sarangani,PH,1579928924,5.4,125.46,82.53,76,11.95,57
Trincomalee,LK,1579928924,8.57,81.23,84.24,60,7.7,84
Bandarbeyla,SO,1579928924,9.49,50.81,78.73,82,20.74,100
Fare,PF,1579928924,-16.7,-151.02,82.56,76,13.82,9
Alta Floresta,BR,1579928876,-9.88,-56.09,71.4,98,3.65,99
Weyburn,CA,1579928924,49.67,-103.85,19.0,89,5.99,100
Oodweyne,SO,1579928925,9.41,45.06,72.88,57,16.02,96
Carballo,ES,1579928925,43.21,-8.69,42.01,100,5.82,49
Tromso,NO,1579928832,69.65,18.96,30.2,86,12.75,90
Maragogi,BR,1579928740,-9.01,-35.22,81.01,77,9.08,100
Pecos,US,1579928925,31.42,-103.49,50.0,61,4.7,1
Clarence Town,AU,1579928925,-32.58,151.78,87.01,74,12.75,40
Ust-Maya,RU,1579928926,60.42,134.53,-36.24,96,2.73,31
Half Moon Bay,US,1579928926,37.46,-122.43,57.2,93,3.49,90
Moba,CN,1579928929,33.23,105.02,40.68,41,3.38,29
Roald,NO,1579928630,62.58,6.13,39.2,86,14.99,100
Cidreira,BR,1579928929,-30.18,-50.21,71.04,78,5.86,4
Visby,SE,1579928929,57.64,18.3,41.0,86,12.75,47
Valparaiso,CL,1579928929,-33.04,-71.63,60.8,93,3.36,90
Mbanza-Ngungu,CD,1579928930,-5.25,14.87,70.52,95,2.73,100
Booue,GA,1579928930,-0.09,11.94,71.67,95,1.03,28
Mogadishu,SO,1579928930,2.04,45.34,80.6,74,11.41,75
Srednekolymsk,RU,1579928930,67.45,153.68,-37.91,90,5.91,62
Marabu,MY,1579928930,4.41,114.01,86.0,84,2.24,75
Tres Marias,MX,1579928930,19.05,-99.24,57.2,61,3.18,20
Botro,CI,1579928930,7.85,-5.31,75.2,31,6.93,24
Aasiaat,GL,1579928931,68.71,-52.87,13.37,87,9.64,100
Bethel,US,1579928931,41.37,-73.41,39.2,91,6.93,40
Mossamedes,AO,1579928876,-15.2,12.15,74.66,73,7.23,86
Mayo,US,1579928931,38.89,-76.51,48.2,87,10.29,1
San Luis,AR,1579928931,-33.3,-66.34,80.83,26,13.38,27
Carnarvon,AU,1579928931,-24.87,113.63,87.8,48,19.46,0
Bagumbong,PH,1579928931,6.9,124.52,93.54,48,2.46,39
Vysokogornyy,RU,1579928931,50.12,139.15,-11.11,93,9.01,100
Naze,JP,1579928931,28.37,129.48,75.2,78,6.93,75
Acarau,BR,1579928932,-2.89,-40.12,75.43,94,4.07,71
Gushikawa,JP,1579928932,26.35,127.87,80.6,57,16.11,75
Bom Jesus,BR,1579928668,-9.07,-44.36,71.67,90,1.72,100
Pitimbu,BR,1579928935,-7.47,-34.81,78.8,88,5.82,75
Lakes Entrance,AU,1579928935,-37.88,147.98,81.0,51,5.99,21
Cap Malheureux,MU,1579928637,-19.98,57.61,82.0,94,17.22,75
Bafata,GW,1579928935,12.17,-14.75,71.65,55,3.87,100
Scarborough,GB,1579928935,54.28,-0.4,44.01,93,5.82,58
Nome,US,1579928935,64.5,-165.41,-18.4,75,6.2,1
Grand-Santi,GF,1579928936,4.25,-54.38,71.51,96,3.85,36
Camposampiero,IT,1579928936,45.57,11.94,44.01,75,1.12,100
College,US,1579928936,64.86,-147.8,-0.99,70,2.75,1
Marabba,SD,1579928936,12.35,32.18,61.59,22,16.33,1
Sabana Grande de Boya,DO,1579928936,18.95,-69.79,75.0,94,4.7,40
Sedalia,US,1579928936,38.7,-93.23,33.01,93,9.17,90
Morro Bay,US,1579928936,35.37,-120.85,60.8,67,3.36,1
Tembisa,ZA,1579928936,-26.0,28.23,64.99,87,5.82,75
Batticaloa,LK,1579928936,7.71,81.69,81.93,70,10.78,95
Homer,US,1579928937,59.64,-151.55,15.8,65,10.83,1
Punta de Piedra,VE,1579928937,7.62,-71.49,75.42,89,3.42,100
Tombouctou,ML,1579928937,20.0,-3.0,70.32,24,7.67,82
Gatton,AU,1579928937,-27.55,152.28,84.99,69,10.29,91
Saint-Joseph,RE,1579928864,-21.37,55.62,82.4,88,25.28,95
Wakkanai,JP,1579928937,45.41,141.67,15.8,66,32.21,75
Sechura,PE,1579928937,-5.56,-80.82,73.72,84,7.0,96
Road Town,VG,1579928770,18.42,-64.62,75.2,83,8.05,90
Klaksvik,FO,1579928941,62.23,-6.59,44.6,100,13.87,100
Cacador,BR,1579928941,-26.78,-51.02,54.32,99,1.83,3
Egvekinot,RU,1579928834,66.32,-179.17,-9.51,98,0.94,78
La Ronge,CA,1579928941,55.1,-105.28,12.2,92,1.5,90
Kushima,JP,1579928941,31.46,131.23,55.4,82,11.41,90
Bathsheba,BB,1579928941,13.22,-59.52,78.8,78,10.29,20
Paris,FR,1579928796,48.85,2.35,32.0,100,3.36,40
Okha,RU,1579928941,53.57,142.95,-8.37,86,18.61,100
Yei,SS,1579928942,4.09,30.68,70.9,26,6.08,87
Cockburn Town,TC,1579928942,21.46,-71.14,75.63,63,6.6,16
Jalu,LY,1579928942,29.03,21.55,50.63,67,5.1,0
Freeport,US,1579928942,40.66,-73.58,42.01,81,8.05,75
Melilla,ES,1579928942,35.29,-2.94,50.0,87,2.24,53
Jiangyin,CN,1579928942,31.93,120.31,50.0,78,11.59,100
Bratsk,RU,1579928942,56.13,101.61,19.4,57,4.47,20
Kungurtug,RU,1579928943,50.6,97.52,18.97,70,2.59,72
Tabou,CI,1579928827,4.42,-7.35,75.81,96,1.79,1
Batemans Bay,AU,1579928943,-35.72,150.18,84.0,79,8.99,63
Mayumba,GA,1579928943,-3.43,10.66,81.88,75,3.22,99
Yuci,CN,1579928943,37.68,112.73,37.4,51,2.24,89
Rosario,AR,1579928723,-32.95,-60.64,81.0,78,3.36,0
Padang,ID,1579928943,-0.95,100.35,77.72,89,3.56,47
Moussoro,TD,1579928946,13.64,16.49,57.0,18,15.41,0
Bairiki Village,KI,1579928947,1.33,172.98,87.8,74,9.17,20
Areosa,PT,1579928947,41.72,-8.86,48.0,81,3.36,7
Pauini,BR,1579928947,-7.71,-66.98,72.64,99,2.19,100
Matadi,CD,1579928947,-5.82,13.45,75.43,91,1.16,100
Port Keats,AU,1579928835,-14.25,129.55,88.65,73,11.14,60
Lagoa,PT,1579928948,39.05,-27.98,61.47,83,22.57,100
Bama,NG,1579928948,11.52,13.69,56.08,23,7.96,0
Milcoiu,RO,1579928948,45.05,24.47,28.6,49,1.97,17
Fostoria,US,1579928948,41.16,-83.42,41.0,93,9.17,90
Vanimo,PG,1579928830,-2.67,141.3,83.44,77,12.71,0
Sim,RU,1579928948,54.99,57.7,8.15,93,12.57,100
Salinopolis,BR,1579928948,-0.61,-47.36,81.66,82,11.97,100
Port-Gentil,GA,1579928948,-0.72,8.78,82.83,77,8.3,71
Aketi,CD,1579928949,2.74,23.78,68.32,37,3.06,100
Champerico,GT,1579928949,14.3,-91.92,72.81,87,3.58,0
Allauch,FR,1579928949,43.34,5.48,55.0,93,5.82,54
Bermeo,ES,1579928949,43.42,-2.72,52.0,81,1.12,65
Mielec,PL,1579928949,50.29,21.42,28.0,92,8.05,35
Abu Dhabi,AE,1579928949,24.47,54.37,64.4,72,3.36,0
Kyzyl-Suu,KG,1579928949,42.34,78.0,31.17,57,1.81,4
Vanavara,RU,1579928949,60.34,102.28,23.65,94,6.38,100
Llanes,ES,1579928950,43.42,-4.75,48.0,10,5.17,43
Ahipara,NZ,1579928950,-35.17,173.17,84.0,57,17.34,0
Goya,AR,1579928953,-29.14,-59.26,70.18,58,4.12,17
Brae,GB,1579928953,60.4,-1.35,46.4,93,23.04,100
Belmonte,BR,1579928953,-15.86,-38.88,75.2,88,11.41,40
Gabu,GW,1579928953,12.28,-14.22,75.43,45,3.69,86
Kahului,US,1579928953,20.89,-156.47,75.2,73,11.41,20
Raudeberg,NO,1579928953,61.99,5.14,39.0,93,9.17,100
Novoil'insk,RU,1579928953,51.68,108.71,11.35,77,4.03,64
Gravdal,NO,1579928954,68.12,13.5,36.3,67,21.43,75
Rusetu,RO,1579928954,44.95,27.22,26.6,68,11.41,20
Colares,PT,1579928954,38.8,-9.45,51.8,100,9.17,75
San Cristobal,VE,1579928844,7.77,-72.22,77.0,94,2.24,40
Opuwo,NA,1579928954,-18.06,13.84,71.13,40,1.16,11
Atbasar,KZ,1579928954,51.8,68.33,7.93,92,14.79,99
Sri Aman,MY,1579928955,1.24,111.46,87.8,70,2.24,75
Evensk,RU,1579928955,61.95,159.23,10.27,91,17.25,100
Port Macquarie,AU,1579929030,-31.43,152.92,89.01,70,13.98,40
Neuquen,AR,1579929030,-38.95,-68.06,78.8,27,10.29,0
Cartagena del Chaira,CO,1579929030,1.33,-74.84,75.18,86,2.26,100
Mongo,TD,1579929030,12.18,18.69,54.0,20,4.14,0
Chunhuhub,MX,1579929031,19.55,-88.68,64.0,98,1.92,23
Broken Hill,AU,1579928875,-31.95,141.43,86.0,17,11.41,0
Manta,EC,1579929031,-0.95,-80.73,78.8,83,5.86,40
Kuandian,CN,1579929031,40.73,124.78,25.52,68,1.66,10
Dongdu,CN,1579929034,35.85,117.7,44.13,25,2.8,98
Santa Isabel do Rio Negro,BR,1579929034,-0.41,-65.02,75.13,92,4.18,84
Parintins,BR,1579929034,-2.63,-56.74,76.68,75,2.51,68
Danielskuil,ZA,1579929034,-28.19,23.54,69.01,59,20.31,0
Wau,SS,1579929035,7.7,28.0,65.5,16,9.66,83
Westport,US,1579928943,41.14,-73.36,39.2,84,8.05,75
Kununurra,AU,1579928761,-15.77,128.73,89.6,66,10.29,76
Karratha,AU,1579929035,-20.74,116.85,84.67,78,15.05,4
Camocim,BR,1579929035,-2.9,-40.84,73.09,91,3.04,78
Philadelphia,US,1579928990,39.95,-75.16,44.01,75,10.29,1
Baruun-Urt,MN,1579929036,46.68,113.28,8.51,83,8.77,0
Wacheng,CN,1579929037,33.78,114.52,46.15,43,6.6,100
Rosarito,MX,1579929037,32.33,-117.03,60.01,93,1.01,75
Makubetsu,JP,1579929037,45.37,141.82,15.8,66,32.21,75
Calabar,NG,1579929037,4.95,8.32,72.37,68,0.38,52
Gemena,CD,1579929037,3.25,19.77,65.5,32,2.42,84
Shache,CN,1579929037,38.42,77.24,31.19,43,3.38,100
Baghdad,IQ,1579929037,33.34,44.4,42.8,100,8.05,66
Spearfish,US,1579929037,44.49,-103.86,37.4,69,5.59,1
Lubango,AO,1579929038,-14.92,13.49,63.54,83,2.84,100
Coahuayana Viejo,MX,1579929038,18.73,-103.68,68.0,88,3.18,20
Voyvozh,RU,1579929039,62.89,54.96,-7.1,98,3.74,28
Gardner,US,1579929039,42.58,-72.0,37.0,86,8.05,90
Eyl,SO,1579929039,7.98,49.82,80.1,77,18.92,100
Visconde do Rio Branco,BR,1579929042,-21.01,-42.84,66.2,94,3.74,100
Biltine,TD,1579929042,14.53,20.92,55.96,20,15.1,0
Coquimbo,CL,1579929042,-29.95,-71.34,64.4,88,5.84,4
Pochutla,MX,1579929042,15.74,-96.47,78.84,77,6.15,0
Nishihara,JP,1579929043,26.18,127.76,80.6,57,16.11,75
Novyy Urgal,RU,1579929043,51.07,132.56,-15.45,84,0.67,58
Dhidhdhoo,MV,1579928893,6.88,73.1,82.06,71,7.87,94
Macapa,BR,1579928807,0.04,-51.07,78.8,100,4.7,40
Filingue,NE,1579929043,14.35,3.32,65.35,10,11.12,0
Maroantsetra,MG,1579929043,-15.43,49.73,77.23,83,3.2,27
Mirny,RU,1579929043,62.54,113.96,-22.0,82,4.47,100
Luanda,AO,1579929043,-8.84,13.23,81.3,77,8.39,95
Quang Ngai,VN,1579929043,15.12,108.8,75.7,81,11.43,95
Bushehr,IR,1579929044,28.97,50.84,55.4,81,4.7,0
Ciudad Lazaro Cardenas,MX,1579929044,17.96,-102.2,74.07,81,3.56,63
Pangnirtung,CA,1579928883,66.15,-65.71,-37.39,99,1.81,100
Monrovia,LR,1579929044,6.3,-10.8,76.39,92,6.51,36
Bischwiller,FR,1579929044,48.77,7.86,35.01,91,3.36,59
Ostrovnoy,RU,1579929044,68.05,39.51,7.65,91,2.55,100
Khandyga,RU,1579929044,62.67,135.6,-42.36,98,1.32,66
Mandurah,AU,1579929044,-32.55,115.7,91.0,45,14.99,30
Iqaluit,CA,1579928919,63.75,-68.51,-29.0,66,5.82,20
Aswan,EG,1579929045,24.09,32.91,49.28,64,11.77,0
Ust'-Ilimsk,RU,1579929045,58.0,102.66,29.3,92,10.04,100
Agadez,NE,1579929048,19.75,10.25,55.98,15,4.54,84
Anaco,VE,1579929035,9.44,-64.47,70.47,91,2.59,0
Lahaina,US,1579928917,20.88,-156.68,75.2,73,11.41,1
Green River,US,1579929048,41.53,-109.47,28.4,92,14.99,1
Pavlivka,UA,1579929048,49.44,28.46,30.2,68,13.42,63
Sisimiut,GL,1579929049,66.94,-53.67,3.06,90,3.38,100
Ampanihy,MG,1579929049,-24.7,44.75,79.0,53,13.76,0
Stephenville,US,1579929049,32.22,-98.2,50.0,52,5.82,1
Nanning,CN,1579928875,22.82,108.32,53.6,87,13.42,90
Chanute,US,1579929049,37.68,-95.46,30.2,92,4.7,1
Maseru,LS,1579929049,-29.32,27.48,65.1,63,7.61,65
Natal,BR,1579929049,-5.79,-35.21,80.6,78,10.29,75
Oranjemund,NA,1579929049,-28.55,16.43,66.83,78,2.89,15
Pacific Grove,US,1579929050,36.62,-121.92,57.2,87,4.7,90
Kiama,AU,1579929050,-34.68,150.87,84.99,61,19.46,40
Marawi,PH,1579929125,8.0,124.29,82.99,86,7.0,55
Iquitos,PE,1579929125,-3.75,-73.25,77.0,94,2.24,75
La Orilla,MX,1579929125,17.98,-102.23,74.07,81,3.56,63
Gazojak,TM,1579929126,41.19,61.4,32.61,95,11.43,100
Chicama,PE,1579929126,-7.84,-79.15,73.4,88,3.36,75
Ngunguru,NZ,1579929126,-35.62,174.5,75.0,77,5.99,6
Progreso,MX,1579929126,21.28,-89.67,71.6,73,6.93,75
Borodino,RU,1579929201,55.91,94.9,28.09,82,6.85,100
Birao,CF,1579929202,10.28,22.79,56.5,20,17.31,18
Qax,AZ,1579929202,41.42,46.92,24.8,68,11.41,0
Kichera,RU,1579929205,55.94,110.1,11.07,93,6.24,100
Neiafu,TO,1579929205,-18.65,-173.98,80.6,88,5.82,75
Manokwari,ID,1579929205,-0.87,134.08,77.05,78,2.77,54
Savantvadi,IN,1579929205,15.9,73.82,80.6,61,5.82,20
Flinders,AU,1579928995,-34.58,150.86,84.99,61,19.46,40
Sur,OM,1579929205,22.57,59.53,72.07,63,4.41,67
Mitha Tiwana,PK,1579929206,32.25,72.11,64.62,25,0.83,52
Kauhajoki,FI,1579929206,62.43,22.18,30.2,74,9.17,3
Yumen,CN,1579929206,40.28,97.2,30.29,42,14.88,0
Bonthe,SL,1579929206,7.53,-12.51,73.35,93,3.24,4
Aleksandrow Kujawski,PL,1579929206,52.88,18.69,37.0,82,11.41,90
San Policarpo,PH,1579929206,12.18,125.51,81.03,85,11.56,86
Canon City,US,1579929206,38.44,-105.24,39.2,44,6.93,1
Yuancheng,CN,1579929206,36.65,107.79,32.29,64,4.83,99
Hambantota,LK,1579929207,6.12,81.12,84.2,79,13.87,100
Hervey Bay,AU,1579929207,-25.3,152.85,86.0,58,12.75,40
Tarata,BO,1579929207,-17.62,-66.02,64.4,48,6.93,96
Garoowe,SO,1579929207,8.41,48.48,77.88,63,12.1,74
Benguela,AO,1579929207,-12.58,13.41,77.47,79,4.27,100
Yokadouma,CM,1579929207,3.52,15.05,59.18,30,2.95,76
Opportunity,US,1579929058,47.65,-117.24,41.0,93,4.7,75
Paranaiba,BR,1579929207,-19.68,-51.19,70.39,94,4.32,43
La Palma,US,1579929207,33.85,-118.05,62.01,93,1.14,90
Riyadh,SA,1579929115,24.69,46.72,46.4,38,15.05,0
